X,Y,Z,SignedDistance
329549.393625079,7744831.46285979,155.097837292188,-27.618
329549.75907917,7744831.47562172,154.756838112157,-27.608
329550.12453326,7744831.48838366,154.415838932126,-27.606
329550.48998735,7744831.5011456,154.074839752095,-27.613
329550.855441441,7744831.51390754,153.733840572063,-27.63
329551.220895531,7744831.52666948,153.392841392032,-27.624
329551.586349621,7744831.53943141,153.051842212001,-27.498
329551.951803712,7744831.55219335,152.71084303197,-27.382
329552.317257802,7744831.56495529,152.369843851938,-27.274
329552.682711892,7744831.57771723,152.028844671907,-27.174
329553.048165983,7744831.59047917,151.687845491876,-27.084
329553.413620073,7744831.6032411,151.346846311845,-27.002
329553.779074163,7744831.61600304,151.005847131813,-26.93
329554.144528254,7744831.62876498,150.664847951782,-26.867
329554.509982344,7744831.64152692,150.323848771751,-26.813
329554.875436435,7744831.65428886,149.98284959172,-26.768
329555.240890525,7744831.66705079,149.641850411688,-26.732
329555.606344615,7744831.67981273,149.300851231657,-26.706
329555.971798706,7744831.69257467,148.959852051626,-26.689
329556.337252796,7744831.70533661,148.618852871595,-26.681
329556.702706886,7744831.71809855,148.277853691563,-26.683
329557.068160977,7744831.73086048,147.936854511532,-26.694
329557.433615067,7744831.74362242,147.595855331501,-26.715
329557.799069157,7744831.75638436,147.25485615147,-26.744
329558.164523248,7744831.7691463,146.913856971438,-26.783
329558.529977338,7744831.78190824,146.572857791407,-26.832
329558.895431428,7744831.79467017,146.231858611376,-26.889
329559.260885519,7744831.80743211,145.890859431345,-26.956
329559.626339609,7744831.82019405,145.549860251313,-27.032
329559.9917937,7744831.83295599,145.208861071282,-27.117
329560.35724779,7744831.84571793,144.867861891251,-27.211
329560.72270188,7744831.85847986,144.52686271122,-27.313
329561.088155971,7744831.8712418,144.185863531188,-27.425
329561.453610061,7744831.88400374,143.844864351157,-27.545
329561.819064151,7744831.89676568,143.503865171126,-27.673
329562.184518242,7744831.90952762,143.162865991095,-27.81
329562.549972332,7744831.92228955,142.821866811063,-27.955
329562.915426422,7744831.93505149,142.480867631032,-28.108
329563.280880513,7744831.94781343,142.139868451001,-28.27
329563.646334603,7744831.96057537,141.79886927097,-28.439
329564.011788693,7744831.97333731,141.457870090938,-28.616
329564.377242784,7744831.98609925,141.116870910907,-28.8
329564.742696874,7744831.99886118,140.775871730876,-28.82
329565.108150964,7744832.01162312,140.434872550845,-28.847
329565.473605055,7744832.02438506,140.093873370813,-28.882
329565.839059145,7744832.037147,139.752874190782,-28.926
329566.204513235,7744832.04990894,139.411875010751,-28.978
329566.569967326,7744832.06267087,139.07087583072,-29.039
329566.935421416,7744832.07543281,138.729876650688,-29.109
329567.300875507,7744832.08819475,138.388877470657,-29.187
329567.666329597,7744832.10095669,138.047878290626,-29.273
329568.031783687,7744832.11371863,137.706879110595,-29.367
329568.397237778,7744832.12648056,137.365879930563,-29.47
329568.762691868,7744832.1392425,137.024880750532,-29.581
329569.128145958,7744832.15200444,136.683881570501,-29.699
329569.493600049,7744832.16476638,136.34288239047,-29.826
329569.859054139,7744832.17752832,136.001883210438,-29.96
329570.224508229,7744832.19029025,135.660884030407,-30.103
329570.58996232,7744832.20305219,135.319884850376,-30.252
329570.95541641,7744832.21581413,134.978885670345,-30.41
329571.3208705,7744832.22857607,134.637886490313,-30.574
329571.686324591,7744832.24133801,134.296887310282,-30.746
329572.051778681,7744832.25409994,133.955888130251,-30.925
329572.417232771,7744832.26686188,133.61488895022,-31.111
329572.782686862,7744832.27962382,133.273889770188,-31.304
329573.148140952,7744832.29238576,132.932890590157,-31.504
329573.513595043,7744832.3051477,132.591891410126,-31.71
329573.879049133,7744832.31790963,132.250892230095,-31.923
329574.246125535,7744832.33334364,131.911830881248,-32.029
329574.619691187,7744832.35946589,131.58052085714,-32.099
329574.993256838,7744832.38558815,131.249210833032,-32.177
329575.366822489,7744832.4117104,130.917900808924,-32.262
329575.74038814,7744832.43783266,130.586590784817,-32.355
329576.113953791,7744832.46395491,130.255280760709,-32.456
329576.487519442,7744832.49007717,129.923970736601,-32.563
329576.861085093,7744832.51619942,129.592660712493,-32.678
329577.234650745,7744832.54232168,129.261350688385,-32.801
329577.608216396,7744832.56844393,128.930040664277,-32.93
329577.981782047,7744832.59456619,128.598730640169,-33.067
329578.355347698,7744832.62068844,128.267420616061,-33.21
329578.728913349,7744832.6468107,127.936110591954,-33.36
329579.102479,7744832.67293295,127.604800567846,-33.517
329579.476044651,7744832.69905521,127.273490543738,-33.681
329579.849610303,7744832.72517746,126.94218051963,-33.7
329580.223175954,7744832.75129972,126.610870495522,-33.2
329580.596741605,7744832.77742197,126.279560471414,-32.7
329580.970307256,7744832.80354423,125.948250447306,-32.2
329581.343872907,7744832.82966648,125.616940423199,-31.7
329581.717438558,7744832.85578874,125.285630399091,-31.2
329582.091004209,7744832.88191099,124.954320374983,-30.7
329582.464569861,7744832.90803325,124.623010350875,-30.2
329582.838135512,7744832.9341555,124.291700326767,-29.7
329583.211701163,7744832.96027776,123.960390302659,-29.2
329583.585266814,7744832.98640001,123.629080278551,-28.7
329583.958832465,7744833.01252227,123.297770254443,-28.2
329584.332398116,7744833.03864452,122.966460230336,-27.7
329584.705963768,7744833.06476678,122.635150206228,-27.2
329585.079529419,7744833.09088903,122.30384018212,-26.7
