X,Y,Z
329000.665393749,7743882.66687336,411.799731194952
329000,7743881.72591169,411.794910134422
329000,7743882.6668585,411.795771677283
329000,7743883.60783417,411.796452145055
329000,7743885.517607,411.797945635651
329000.665458007,7743888.36836635,411.803629192041
329000,7743887.42731636,411.799063195133
329000,7743888.36835266,411.799546401776
329000,7743889.30941567,411.79984142197
329000,7743891.21909673,411.800552274938
329000.665517061,7743894.06985072,411.805169170545
329000,7743893.12871953,411.800872780743
329000,7743894.06983836,411.800967263592
329000,7743895.01098148,411.80086662223
329000,7743896.92057882,411.800773912368
329000.665570286,7743899.77132818,411.804289001394
329000,7743898.83012373,411.800276817045
329000,7743899.7713173,411.79997253684
329000,7743900.71253247,411.799466402097
329000,7743902.62205507,411.7985499435
329000.665617089,7743905.47280062,411.800928887476
329000,7743904.53153166,411.79721550663
329000,7743905.47279135,411.796502824267
329000,7743906.4140697,411.795581798661
329000,7743908.32352742,411.793822246603
329000.665656905,7743911.17427009,411.795031674946
329000,7743910.23294614,411.791631637188
329000,7743911.17426255,411.790501365807
329000,7743912.11559448,411.789156538345
329000,7743914.02499802,411.786535491409
329000.665689216,7743916.87573879,411.786543164273
329000,7743915.93437007,411.783470889922
329000,7743916.87573312,411.781914346779
329000,7743917.81710832,411.780137344545
329000,7743919.72646913,411.776637446148
329000.66571355,7743922.57720909,411.775412418208
329000,7743921.63580645,411.772682145334
329000,7743922.5772054,411.770691202942
329000,7743923.51861294,411.768474241616
329000,7743925.42794318,411.764079279997
329000.665729495,7743928.27868349,411.761592063741
329000,7743927.33725836,411.759217783495
329000,7743928.27868189,411.756784919515
329000,7743929.22011031,411.754120852277
329000,7743931.12942273,411.748815857994
329000,7743933.9801652,411.740152321108
